Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
"SW23"	,"CPG135001D01"	,"KEY-TH_CPG135001D0X"	,"82.446mm"	,"-81.355mm"	,"82.446mm"	,"-81.355mm"	,"79.947mm"	,"-80.306mm"	,"2"	,"T"	,"0"	,"No"	,"CPG135001D01"	,
"SW24"	,"CPG135001D01"	,"KEY-TH_CPG135001D0X"	,"82.446mm"	,"-98.855mm"	,"82.446mm"	,"-98.855mm"	,"79.947mm"	,"-97.806mm"	,"2"	,"T"	,"0"	,"No"	,"CPG135001D01"	,
"SW25"	,"CPG135001D01"	,"KEY-TH_CPG135001D0X"	,"82.446mm"	,"-116.355mm"	,"82.446mm"	,"-116.355mm"	,"79.947mm"	,"-115.306mm"	,"2"	,"T"	,"0"	,"No"	,"CPG135001D01"	,
"SW26"	,"CPG135001D01"	,"KEY-TH_CPG135001D0X"	,"99.946mm"	,"-46.355mm"	,"99.946mm"	,"-46.355mm"	,"97.447mm"	,"-45.306mm"	,"2"	,"T"	,"0"	,"No"	,"CPG135001D01"	,
"SW27"	,"CPG135001D01"	,"KEY-TH_CPG135001D0X"	,"99.946mm"	,"-63.855mm"	,"99.946mm"	,"-63.855mm"	,"97.447mm"	,"-62.806mm"	,"2"	,"T"	,"0"	,"No"	,"CPG135001D01"	,
"SW28"	,"CPG135001D01"	,"KEY-TH_CPG135001D0X"	,"99.946mm"	,"-81.355mm"	,"99.946mm"	,"-81.355mm"	,"97.447mm"	,"-80.306mm"	,"2"	,"T"	,"0"	,"No"	,"CPG135001D01"	,
"SW29"	,"CPG135001D01"	,"KEY-TH_CPG135001D0X"	,"99.946mm"	,"-98.855mm"	,"99.946mm"	,"-98.855mm"	,"97.447mm"	,"-97.806mm"	,"2"	,"T"	,"0"	,"No"	,"CPG135001D01"	,
"D1"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"9.947mm"	,"-59.938mm"	,"9.947mm"	,"-59.938mm"	,"5.847mm"	,"-59.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D2"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"9.947mm"	,"-77.438mm"	,"9.947mm"	,"-77.438mm"	,"5.847mm"	,"-77.438mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
"D3"	,"1N4148"	,"DO-35_BD2.0-L4.2-P8.20-D0.5-RD"	,"9.947mm"	,"-94.938mm"	,"9.947mm"	,"-94.938mm"	,"5.847mm"	,"-94.938mm"	,"2"	,"B"	,"0"	,"No"	,"1N4148"	,
